"LoanID,StringID,Product,CustomerGender,Location,Region,TotalPrice,StartDate,Deposit,DailyRate,TotalDays,AmountPaid30,AmountPaid60,AmountPaid360,LoanStatus360"
"1,id_1,Product B,Male,Location 2,Region 2,16600,7/4/2014,2000,40,365,3121,4241,13621,Active"
"2,id_2,Product B,Male,Location 3,,16600,1/2/2015,2000,40,365,3061,4171,15041,Active"
"3,id_3,Product C,Female,Location 5,Region 5,15600,12/8/2012,1000,40,365,2160,3280,15340,"
"4,id_4,Product B,Male,Location 6,Region 1,16600,,2000,40,365,3041,4241,15321,Active"
"5,id_5,Product D,Female,Location 7,Region 2,20250,10/28/2013,2000,50,365,3470,4820,13720,Active"
"6,id_6,Product B,Female,Location 10,Region 2,,4/19/2015,2000,40,365,3201,4141,14141,Active"
"7,id_7,Product A,Male,Location 11,Region 3,20250,7/4/2016,2000,50,365,1851,3251,17701,Active"
"8,id_8,Product B,Male,Location 12,Region 6,16600,4/24/2014,2000,40,365,3971,4131,15351,Active"
"9,id_9,Product A,Female,Location 3,Region 3,22250,9/3/2015,4000,50,365,5750,7450,20250,"
"10,id_10,Product A,Female,Location 13,Region 6,20250,7/25/2016,2000,50,365,1951,3251,17351,Active"
"11,id_11,Product B,Female,Location 15,Region 2,16600,5/1/2014,2000,40,365,3160,4480,16380,Active"
"12,id_12,Product D,Female,Location 16,Region 1,20250,3/29/2013,2000,50,365,3090,4190,10790,Active"
"13,id_13,Product B,Male,Location 17,Region 3,16600,10/3/2014,2000,40,365,3121,5161,13441,Active"
"14,id_14,Product A,Male,Location 19,Region 2,20750,9/18/2015,2500,50,365,1680,1680,5010,Active"
"15,id_15,Product A,Female,Location 23,Region 4,22250,5/20/2015,4000,50,365,5500,6900,21000,Active"
"16,id_16,Product B,Male,Location 27,Region 2,16600,5/31/2014,2000,40,365,3121,4801,15001,Active"
"17,id_17,Product A,Male,Location 25,Region 3,22250,8/29/2015,4000,50,365,4000,4810,8010,Active"
"18,id_18,Product B,Female,Location 26,Region 3,16600,6/6/2014,2000,40,365,3401,4201,15381,Active"
"19,id_19,Product B,Male,Location 29,Region 1,16600,3/27/2015,2000,40,365,3128,4281,15781,Active"
"20,id_20,Product E,Male,Location 30,Region 2,54625,10/11/2015,9000,125,365,12126,15251,45626,Active"
